states,city,description
California,"Laguna Niguel, CA","The crime incident count of Laguna Niguel, CA was 34 for aggravated assault. The crime incident count of Laguna Niguel, CA was 1,634 for all crimes. The crime incident count of Laguna Niguel, CA was 2 for arson. The crime incident count of Laguna Niguel, CA was 124 for burglary. The crime incident count of Laguna Niguel, CA was 567 for larceny. The crime incident count of Laguna Niguel, CA was 60 for motor vehicle theft. The crime incident count of Laguna Niguel, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Laguna Niguel, CA was 751 for property crime. The crime incident count of Laguna Niguel, CA was 9 for rape (revised definition). The crime incident count of Laguna Niguel, CA was 22 for robbery. The crime incident count of Laguna Niguel, CA was 65 for violent crime."
California,"La Habra, CA","The crime incident count of La Habra, CA was 58 for aggravated assault. The crime incident count of La Habra, CA was 2,910 for all crimes. The crime incident count of La Habra, CA was 2 for arson. The crime incident count of La Habra, CA was 237 for burglary. The crime incident count of La Habra, CA was 955 for larceny. The crime incident count of La Habra, CA was 160 for motor vehicle theft. The crime incident count of La Habra, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of La Habra, CA was 1,352 for property crime. The crime incident count of La Habra, CA was 8 for rape (revised definition). The crime incident count of La Habra, CA was 35 for robbery. The crime incident count of La Habra, CA was 102 for violent crime."
California,"Lake Elsinore, CA","The crime incident count of Lake Elsinore, CA was 89 for aggravated assault. The crime incident count of Lake Elsinore, CA was 4,042 for all crimes. The crime incident count of Lake Elsinore, CA was 2 for arson. The crime incident count of Lake Elsinore, CA was 274 for burglary. The crime incident count of Lake Elsinore, CA was 1,224 for larceny. The crime incident count of Lake Elsinore, CA was 367 for motor vehicle theft. The crime incident count of Lake Elsinore, CA was 3 for murder and nonnegligent manslaughter. The crime incident count of Lake Elsinore, CA was 1,865 for property crime. The crime incident count of Lake Elsinore, CA was 10 for rape (revised definition). The crime incident count of Lake Elsinore, CA was 53 for robbery. The crime incident count of Lake Elsinore, CA was 155 for violent crime."
California,"Lake Forest, CA","The crime incident count of Lake Forest, CA was 75 for aggravated assault. The crime incident count of Lake Forest, CA was 1,709 for all crimes. The crime incident count of Lake Forest, CA was 7 for arson. The crime incident count of Lake Forest, CA was 135 for burglary. The crime incident count of Lake Forest, CA was 533 for larceny. The crime incident count of Lake Forest, CA was 78 for motor vehicle theft. The crime incident count of Lake Forest, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Lake Forest, CA was 746 for property crime. The crime incident count of Lake Forest, CA was 17 for rape (revised definition). The crime incident count of Lake Forest, CA was 13 for robbery. The crime incident count of Lake Forest, CA was 105 for violent crime."
California,"Lakewood, CA","The crime incident count of Lakewood, CA was 101 for aggravated assault. The crime incident count of Lakewood, CA was 5,502 for all crimes. The crime incident count of Lakewood, CA was 14 for arson. The crime incident count of Lakewood, CA was 342 for burglary. The crime incident count of Lakewood, CA was 1,872 for larceny. The crime incident count of Lakewood, CA was 307 for motor vehicle theft. The crime incident count of Lakewood, CA was 2 for murder and nonnegligent manslaughter. The crime incident count of Lakewood, CA was 2,521 for property crime. The crime incident count of Lakewood, CA was 7 for rape (revised definition). The crime incident count of Lakewood, CA was 113 for robbery. The crime incident count of Lakewood, CA was 223 for violent crime."
California,"La Mesa, CA","The crime incident count of La Mesa, CA was 120 for aggravated assault. The crime incident count of La Mesa, CA was 3,743 for all crimes. The crime incident count of La Mesa, CA was 11 for arson. The crime incident count of La Mesa, CA was 336 for burglary. The crime incident count of La Mesa, CA was 1,108 for larceny. The crime incident count of La Mesa, CA was 225 for motor vehicle theft. The crime incident count of La Mesa, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of La Mesa, CA was 1,669 for property crime. The crime incident count of La Mesa, CA was 21 for rape (revised definition). The crime incident count of La Mesa, CA was 56 for robbery. The crime incident count of La Mesa, CA was 197 for violent crime."
California,"La Mirada, CA","The crime incident count of La Mirada, CA was 48 for aggravated assault. The crime incident count of La Mirada, CA was 1,949 for all crimes. The crime incident count of La Mirada, CA was 1 for arson. The crime incident count of La Mirada, CA was 162 for burglary. The crime incident count of La Mirada, CA was 606 for larceny. The crime incident count of La Mirada, CA was 121 for motor vehicle theft. The crime incident count of La Mirada, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of La Mirada, CA was 889 for property crime. The crime incident count of La Mirada, CA was 9 for rape (revised definition). The crime incident count of La Mirada, CA was 27 for robbery. The crime incident count of La Mirada, CA was 85 for violent crime."
California,"Lancaster, CA","The crime incident count of Lancaster, CA was 683 for aggravated assault. The crime incident count of Lancaster, CA was 9,249 for all crimes. The crime incident count of Lancaster, CA was 67 for arson. The crime incident count of Lancaster, CA was 1,059 for burglary. The crime incident count of Lancaster, CA was 1,816 for larceny. The crime incident count of Lancaster, CA was 613 for motor vehicle theft. The crime incident count of Lancaster, CA was 7 for murder and nonnegligent manslaughter. The crime incident count of Lancaster, CA was 3,488 for property crime. The crime incident count of Lancaster, CA was 73 for rape (revised definition). The crime incident count of Lancaster, CA was 340 for robbery. The crime incident count of Lancaster, CA was 1,103 for violent crime."
California,"La Puente, CA","The crime incident count of La Puente, CA was 76 for aggravated assault. The crime incident count of La Puente, CA was 1,386 for all crimes. The crime incident count of La Puente, CA was 4 for arson. The crime incident count of La Puente, CA was 136 for burglary. The crime incident count of La Puente, CA was 260 for larceny. The crime incident count of La Puente, CA was 164 for motor vehicle theft. The crime incident count of La Puente, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of La Puente, CA was 560 for property crime. The crime incident count of La Puente, CA was 9 for rape (revised definition). The crime incident count of La Puente, CA was 45 for robbery. The crime incident count of La Puente, CA was 131 for violent crime."
California,"Lawndale, CA","The crime incident count of Lawndale, CA was 114 for aggravated assault. The crime incident count of Lawndale, CA was 1,445 for all crimes. The crime incident count of Lawndale, CA was 1 for arson. The crime incident count of Lawndale, CA was 93 for burglary. The crime incident count of Lawndale, CA was 276 for larceny. The crime incident count of Lawndale, CA was 159 for motor vehicle theft. The crime incident count of Lawndale, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Lawndale, CA was 528 for property crime. The crime incident count of Lawndale, CA was 9 for rape (revised definition). The crime incident count of Lawndale, CA was 71 for robbery. The crime incident count of Lawndale, CA was 194 for violent crime."
California,"Livermore, CA","The crime incident count of Livermore, CA was 88 for aggravated assault. The crime incident count of Livermore, CA was 4,930 for all crimes. The crime incident count of Livermore, CA was 14 for arson. The crime incident count of Livermore, CA was 255 for burglary. The crime incident count of Livermore, CA was 1,739 for larceny. The crime incident count of Livermore, CA was 290 for motor vehicle theft. The crime incident count of Livermore, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of Livermore, CA was 2,284 for property crime. The crime incident count of Livermore, CA was 26 for rape (revised definition). The crime incident count of Livermore, CA was 59 for robbery. The crime incident count of Livermore, CA was 174 for violent crime."
California,"Lodi, CA","The crime incident count of Lodi, CA was 253 for aggravated assault. The crime incident count of Lodi, CA was 4,576 for all crimes. The crime incident count of Lodi, CA was 4 for arson. The crime incident count of Lodi, CA was 438 for burglary. The crime incident count of Lodi, CA was 1,189 for larceny. The crime incident count of Lodi, CA was 308 for motor vehicle theft. The crime incident count of Lodi, CA was 5 for murder and nonnegligent manslaughter. The crime incident count of Lodi, CA was 1,935 for property crime. The crime incident count of Lodi, CA was 9 for rape (revised definition). The crime incident count of Lodi, CA was 84 for robbery. The crime incident count of Lodi, CA was 351 for violent crime."
California,"Lompoc, CA","The crime incident count of Lompoc, CA was 176 for aggravated assault. The crime incident count of Lompoc, CA was 2,403 for all crimes. The crime incident count of Lompoc, CA was 5 for arson. The crime incident count of Lompoc, CA was 219 for burglary. The crime incident count of Lompoc, CA was 628 for larceny. The crime incident count of Lompoc, CA was 130 for motor vehicle theft. The crime incident count of Lompoc, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Lompoc, CA was 977 for property crime. The crime incident count of Lompoc, CA was 27 for rape (revised definition). The crime incident count of Lompoc, CA was 19 for robbery. The crime incident count of Lompoc, CA was 222 for violent crime."
California,"Long Beach, CA","The crime incident count of Long Beach, CA was 1,478 for aggravated assault. The crime incident count of Long Beach, CA was 34,257 for all crimes. The crime incident count of Long Beach, CA was 117 for arson. The crime incident count of Long Beach, CA was 2,988 for burglary. The crime incident count of Long Beach, CA was 8,377 for larceny. The crime incident count of Long Beach, CA was 2,859 for motor vehicle theft. The crime incident count of Long Beach, CA was 33 for murder and nonnegligent manslaughter. The crime incident count of Long Beach, CA was 14,224 for property crime. The crime incident count of Long Beach, CA was 197 for rape (revised definition). The crime incident count of Long Beach, CA was 1,138 for robbery. The crime incident count of Long Beach, CA was 2,846 for violent crime."
California,"Los Altos, CA","The crime incident count of Los Altos, CA was 7 for aggravated assault. The crime incident count of Los Altos, CA was 714 for all crimes. The crime incident count of Los Altos, CA was 2 for arson. The crime incident count of Los Altos, CA was 133 for burglary. The crime incident count of Los Altos, CA was 193 for larceny. The crime incident count of Los Altos, CA was 17 for motor vehicle theft. The crime incident count of Los Altos, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Los Altos, CA was 343 for property crime. The crime incident count of Los Altos, CA was 3 for rape (revised definition). The crime incident count of Los Altos, CA was 3 for robbery. The crime incident count of Los Altos, CA was 13 for violent crime."
California,"Los Angeles, CA","The crime incident count of Los Angeles, CA was 15,874 for aggravated assault. The crime incident count of Los Angeles, CA was 257,177 for all crimes. The crime incident count of Los Angeles, CA was 1,241 for arson. The crime incident count of Los Angeles, CA was 15,821 for burglary. The crime incident count of Los Angeles, CA was 64,739 for larceny. The crime incident count of Los Angeles, CA was 18,591 for motor vehicle theft. The crime incident count of Los Angeles, CA was 293 for murder and nonnegligent manslaughter. The crime incident count of Los Angeles, CA was 99,151 for property crime. The crime incident count of Los Angeles, CA was 2,343 for rape (revised definition). The crime incident count of Los Angeles, CA was 10,307 for robbery. The crime incident count of Los Angeles, CA was 28,817 for violent crime."
California,"Los Banos, CA","The crime incident count of Los Banos, CA was 74 for aggravated assault. The crime incident count of Los Banos, CA was 2,568 for all crimes. The crime incident count of Los Banos, CA was 4 for arson. The crime incident count of Los Banos, CA was 253 for burglary. The crime incident count of Los Banos, CA was 733 for larceny. The crime incident count of Los Banos, CA was 175 for motor vehicle theft. The crime incident count of Los Banos, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of Los Banos, CA was 1,161 for property crime. The crime incident count of Los Banos, CA was 11 for rape (revised definition). The crime incident count of Los Banos, CA was 35 for robbery. The crime incident count of Los Banos, CA was 121 for violent crime."
California,"Los Gatos, CA","The crime incident count of Los Gatos, CA was 13 for aggravated assault. The crime incident count of Los Gatos, CA was 1,277 for all crimes. The crime incident count of Los Gatos, CA was 3 for arson. The crime incident count of Los Gatos, CA was 139 for burglary. The crime incident count of Los Gatos, CA was 432 for larceny. The crime incident count of Los Gatos, CA was 45 for motor vehicle theft. The crime incident count of Los Gatos, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Los Gatos, CA was 616 for property crime. The crime incident count of Los Gatos, CA was 2 for rape (revised definition). The crime incident count of Los Gatos, CA was 6 for robbery. The crime incident count of Los Gatos, CA was 21 for violent crime."
California,"Lynwood, CA","The crime incident count of Lynwood, CA was 232 for aggravated assault. The crime incident count of Lynwood, CA was 4,381 for all crimes. The crime incident count of Lynwood, CA was 17 for arson. The crime incident count of Lynwood, CA was 245 for burglary. The crime incident count of Lynwood, CA was 701 for larceny. The crime incident count of Lynwood, CA was 767 for motor vehicle theft. The crime incident count of Lynwood, CA was 9 for murder and nonnegligent manslaughter. The crime incident count of Lynwood, CA was 1,713 for property crime. The crime incident count of Lynwood, CA was 31 for rape (revised definition). The crime incident count of Lynwood, CA was 197 for robbery. The crime incident count of Lynwood, CA was 469 for violent crime."
California,"Madera, CA","The crime incident count of Madera, CA was 382 for aggravated assault. The crime incident count of Madera, CA was 4,728 for all crimes. The crime incident count of Madera, CA was 0 for arson. The crime incident count of Madera, CA was 297 for burglary. The crime incident count of Madera, CA was 1,262 for larceny. The crime incident count of Madera, CA was 300 for motor vehicle theft. The crime incident count of Madera, CA was 3 for murder and nonnegligent manslaughter. The crime incident count of Madera, CA was 1,859 for property crime. The crime incident count of Madera, CA was 22 for rape (revised definition). The crime incident count of Madera, CA was 98 for robbery. The crime incident count of Madera, CA was 505 for violent crime."
California,"Manhattan Beach, CA","The crime incident count of Manhattan Beach, CA was 13 for aggravated assault. The crime incident count of Manhattan Beach, CA was 2,174 for all crimes. The crime incident count of Manhattan Beach, CA was 8 for arson. The crime incident count of Manhattan Beach, CA was 191 for burglary. The crime incident count of Manhattan Beach, CA was 786 for larceny. The crime incident count of Manhattan Beach, CA was 53 for motor vehicle theft. The crime incident count of Manhattan Beach, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Manhattan Beach, CA was 1,030 for property crime. The crime incident count of Manhattan Beach, CA was 8 for rape (revised definition). The crime incident count of Manhattan Beach, CA was 32 for robbery. The crime incident count of Manhattan Beach, CA was 53 for violent crime."
California,"Manteca, CA","The crime incident count of Manteca, CA was 123 for aggravated assault. The crime incident count of Manteca, CA was 5,901 for all crimes. The crime incident count of Manteca, CA was 13 for arson. The crime incident count of Manteca, CA was 315 for burglary. The crime incident count of Manteca, CA was 2,020 for larceny. The crime incident count of Manteca, CA was 365 for motor vehicle theft. The crime incident count of Manteca, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Manteca, CA was 2,700 for property crime. The crime incident count of Manteca, CA was 30 for rape (revised definition). The crime incident count of Manteca, CA was 91 for robbery. The crime incident count of Manteca, CA was 244 for violent crime."
California,"Martinez, CA","The crime incident count of Martinez, CA was 27 for aggravated assault. The crime incident count of Martinez, CA was 1,818 for all crimes. The crime incident count of Martinez, CA was 0 for arson. The crime incident count of Martinez, CA was 112 for burglary. The crime incident count of Martinez, CA was 422 for larceny. The crime incident count of Martinez, CA was 324 for motor vehicle theft. The crime incident count of Martinez, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Martinez, CA was 858 for property crime. The crime incident count of Martinez, CA was 3 for rape (revised definition). The crime incident count of Martinez, CA was 21 for robbery. The crime incident count of Martinez, CA was 51 for violent crime."
California,"Maywood, CA","The crime incident count of Maywood, CA was 74 for aggravated assault. The crime incident count of Maywood, CA was 1,130 for all crimes. The crime incident count of Maywood, CA was 4 for arson. The crime incident count of Maywood, CA was 79 for burglary. The crime incident count of Maywood, CA was 195 for larceny. The crime incident count of Maywood, CA was 167 for motor vehicle theft. The crime incident count of Maywood, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Maywood, CA was 441 for property crime. The crime incident count of Maywood, CA was 9 for rape (revised definition). The crime incident count of Maywood, CA was 39 for robbery. The crime incident count of Maywood, CA was 122 for violent crime."
California,"Menlo Park, CA","The crime incident count of Menlo Park, CA was 13 for aggravated assault. The crime incident count of Menlo Park, CA was 1,311 for all crimes. The crime incident count of Menlo Park, CA was 5 for arson. The crime incident count of Menlo Park, CA was 101 for burglary. The crime incident count of Menlo Park, CA was 493 for larceny. The crime incident count of Menlo Park, CA was 29 for motor vehicle theft. The crime incident count of Menlo Park, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Menlo Park, CA was 623 for property crime. The crime incident count of Menlo Park, CA was 10 for rape (revised definition). The crime incident count of Menlo Park, CA was 7 for robbery. The crime incident count of Menlo Park, CA was 30 for violent crime."
California,"Merced, CA","The crime incident count of Merced, CA was 319 for aggravated assault. The crime incident count of Merced, CA was 6,608 for all crimes. The crime incident count of Merced, CA was 82 for arson. The crime incident count of Merced, CA was 558 for burglary. The crime incident count of Merced, CA was 1,617 for larceny. The crime incident count of Merced, CA was 599 for motor vehicle theft. The crime incident count of Merced, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of Merced, CA was 2,774 for property crime. The crime incident count of Merced, CA was 35 for rape (revised definition). The crime incident count of Merced, CA was 134 for robbery. The crime incident count of Merced, CA was 489 for violent crime."
California,"Milpitas, CA","The crime incident count of Milpitas, CA was 34 for aggravated assault. The crime incident count of Milpitas, CA was 3,778 for all crimes. The crime incident count of Milpitas, CA was 4 for arson. The crime incident count of Milpitas, CA was 202 for burglary. The crime incident count of Milpitas, CA was 1,320 for larceny. The crime incident count of Milpitas, CA was 269 for motor vehicle theft. The crime incident count of Milpitas, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of Milpitas, CA was 1,791 for property crime. The crime incident count of Milpitas, CA was 9 for rape (revised definition). The crime incident count of Milpitas, CA was 52 for robbery. The crime incident count of Milpitas, CA was 96 for violent crime."
California,"Mission Viejo, CA","The crime incident count of Mission Viejo, CA was 43 for aggravated assault. The crime incident count of Mission Viejo, CA was 2,130 for all crimes. The crime incident count of Mission Viejo, CA was 14 for arson. The crime incident count of Mission Viejo, CA was 160 for burglary. The crime incident count of Mission Viejo, CA was 768 for larceny. The crime incident count of Mission Viejo, CA was 55 for motor vehicle theft. The crime incident count of Mission Viejo, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Mission Viejo, CA was 983 for property crime. The crime incident count of Mission Viejo, CA was 7 for rape (revised definition). The crime incident count of Mission Viejo, CA was 25 for robbery. The crime incident count of Mission Viejo, CA was 75 for violent crime."
California,"Modesto, CA","The crime incident count of Modesto, CA was 1,507 for aggravated assault. The crime incident count of Modesto, CA was 22,921 for all crimes. The crime incident count of Modesto, CA was 65 for arson. The crime incident count of Modesto, CA was 1,421 for burglary. The crime incident count of Modesto, CA was 6,350 for larceny. The crime incident count of Modesto, CA was 1,553 for motor vehicle theft. The crime incident count of Modesto, CA was 13 for murder and nonnegligent manslaughter. The crime incident count of Modesto, CA was 9,324 for property crime. The crime incident count of Modesto, CA was 103 for rape (revised definition). The crime incident count of Modesto, CA was 481 for robbery. The crime incident count of Modesto, CA was 2,104 for violent crime."
California,"Monrovia, CA","The crime incident count of Monrovia, CA was 33 for aggravated assault. The crime incident count of Monrovia, CA was 1,785 for all crimes. The crime incident count of Monrovia, CA was 1 for arson. The crime incident count of Monrovia, CA was 132 for burglary. The crime incident count of Monrovia, CA was 624 for larceny. The crime incident count of Monrovia, CA was 76 for motor vehicle theft. The crime incident count of Monrovia, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Monrovia, CA was 832 for property crime. The crime incident count of Monrovia, CA was 8 for rape (revised definition). The crime incident count of Monrovia, CA was 19 for robbery. The crime incident count of Monrovia, CA was 60 for violent crime."
California,"Montclair, CA","The crime incident count of Montclair, CA was 115 for aggravated assault. The crime incident count of Montclair, CA was 3,873 for all crimes. The crime incident count of Montclair, CA was 27 for arson. The crime incident count of Montclair, CA was 326 for burglary. The crime incident count of Montclair, CA was 978 for larceny. The crime incident count of Montclair, CA was 409 for motor vehicle theft. The crime incident count of Montclair, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Montclair, CA was 1,713 for property crime. The crime incident count of Montclair, CA was 32 for rape (revised definition). The crime incident count of Montclair, CA was 63 for robbery. The crime incident count of Montclair, CA was 210 for violent crime."
California,"Montebello, CA","The crime incident count of Montebello, CA was 93 for aggravated assault. The crime incident count of Montebello, CA was 4,430 for all crimes. The crime incident count of Montebello, CA was 46 for arson. The crime incident count of Montebello, CA was 823 for burglary. The crime incident count of Montebello, CA was 607 for larceny. The crime incident count of Montebello, CA was 548 for motor vehicle theft. The crime incident count of Montebello, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Montebello, CA was 1,978 for property crime. The crime incident count of Montebello, CA was 7 for rape (revised definition). The crime incident count of Montebello, CA was 114 for robbery. The crime incident count of Montebello, CA was 214 for violent crime."
California,"Monterey, CA","The crime incident count of Monterey, CA was 55 for aggravated assault. The crime incident count of Monterey, CA was 2,369 for all crimes. The crime incident count of Monterey, CA was 3 for arson. The crime incident count of Monterey, CA was 199 for burglary. The crime incident count of Monterey, CA was 816 for larceny. The crime incident count of Monterey, CA was 68 for motor vehicle theft. The crime incident count of Monterey, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of Monterey, CA was 1,083 for property crime. The crime incident count of Monterey, CA was 15 for rape (revised definition). The crime incident count of Monterey, CA was 29 for robbery. The crime incident count of Monterey, CA was 100 for violent crime."
California,"Monterey Park, CA","The crime incident count of Monterey Park, CA was 63 for aggravated assault. The crime incident count of Monterey Park, CA was 3,671 for all crimes. The crime incident count of Monterey Park, CA was 1 for arson. The crime incident count of Monterey Park, CA was 460 for burglary. The crime incident count of Monterey Park, CA was 998 for larceny. The crime incident count of Monterey Park, CA was 246 for motor vehicle theft. The crime incident count of Monterey Park, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of Monterey Park, CA was 1,704 for property crime. The crime incident count of Monterey Park, CA was 8 for rape (revised definition). The crime incident count of Monterey Park, CA was 59 for robbery. The crime incident count of Monterey Park, CA was 131 for violent crime."
California,"Moorpark, CA","The crime incident count of Moorpark, CA was 21 for aggravated assault. The crime incident count of Moorpark, CA was 673 for all crimes. The crime incident count of Moorpark, CA was 7 for arson. The crime incident count of Moorpark, CA was 59 for burglary. The crime incident count of Moorpark, CA was 213 for larceny. The crime incident count of Moorpark, CA was 24 for motor vehicle theft. The crime incident count of Moorpark, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Moorpark, CA was 296 for property crime. The crime incident count of Moorpark, CA was 12 for rape (revised definition). The crime incident count of Moorpark, CA was 4 for robbery. The crime incident count of Moorpark, CA was 37 for violent crime."
California,"Moreno Valley, CA","The crime incident count of Moreno Valley, CA was 496 for aggravated assault. The crime incident count of Moreno Valley, CA was 13,969 for all crimes. The crime incident count of Moreno Valley, CA was 7 for arson. The crime incident count of Moreno Valley, CA was 969 for burglary. The crime incident count of Moreno Valley, CA was 4,042 for larceny. The crime incident count of Moreno Valley, CA was 1,107 for motor vehicle theft. The crime incident count of Moreno Valley, CA was 9 for murder and nonnegligent manslaughter. The crime incident count of Moreno Valley, CA was 6,118 for property crime. The crime incident count of Moreno Valley, CA was 17 for rape (revised definition). The crime incident count of Moreno Valley, CA was 341 for robbery. The crime incident count of Moreno Valley, CA was 863 for violent crime."
California,"Morgan Hill, CA","The crime incident count of Morgan Hill, CA was 58 for aggravated assault. The crime incident count of Morgan Hill, CA was 1,449 for all crimes. The crime incident count of Morgan Hill, CA was 1 for arson. The crime incident count of Morgan Hill, CA was 111 for burglary. The crime incident count of Morgan Hill, CA was 418 for larceny. The crime incident count of Morgan Hill, CA was 113 for motor vehicle theft. The crime incident count of Morgan Hill, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Morgan Hill, CA was 642 for property crime. The crime incident count of Morgan Hill, CA was 3 for rape (revised definition). The crime incident count of Morgan Hill, CA was 21 for robbery. The crime incident count of Morgan Hill, CA was 82 for violent crime."
California,"Mountain View, CA","The crime incident count of Mountain View, CA was 94 for aggravated assault. The crime incident count of Mountain View, CA was 3,821 for all crimes. The crime incident count of Mountain View, CA was 5 for arson. The crime incident count of Mountain View, CA was 280 for burglary. The crime incident count of Mountain View, CA was 1,377 for larceny. The crime incident count of Mountain View, CA was 119 for motor vehicle theft. The crime incident count of Mountain View, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Mountain View, CA was 1,776 for property crime. The crime incident count of Mountain View, CA was 9 for rape (revised definition). The crime incident count of Mountain View, CA was 29 for robbery. The crime incident count of Mountain View, CA was 132 for violent crime."
California,"Murrieta, CA","The crime incident count of Murrieta, CA was 24 for aggravated assault. The crime incident count of Murrieta, CA was 3,313 for all crimes. The crime incident count of Murrieta, CA was 9 for arson. The crime incident count of Murrieta, CA was 280 for burglary. The crime incident count of Murrieta, CA was 1,115 for larceny. The crime incident count of Murrieta, CA was 208 for motor vehicle theft. The crime incident count of Murrieta, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Murrieta, CA was 1,603 for property crime. The crime incident count of Murrieta, CA was 8 for rape (revised definition). The crime incident count of Murrieta, CA was 17 for robbery. The crime incident count of Murrieta, CA was 49 for violent crime."
California,"Napa, CA","The crime incident count of Napa, CA was 210 for aggravated assault. The crime incident count of Napa, CA was 3,755 for all crimes. The crime incident count of Napa, CA was 5 for arson. The crime incident count of Napa, CA was 437 for burglary. The crime incident count of Napa, CA was 1,013 for larceny. The crime incident count of Napa, CA was 129 for motor vehicle theft. The crime incident count of Napa, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of Napa, CA was 1,579 for property crime. The crime incident count of Napa, CA was 38 for rape (revised definition). The crime incident count of Napa, CA was 47 for robbery. The crime incident count of Napa, CA was 296 for violent crime."
California,"National City, CA","The crime incident count of National City, CA was 143 for aggravated assault. The crime incident count of National City, CA was 3,291 for all crimes. The crime incident count of National City, CA was 5 for arson. The crime incident count of National City, CA was 182 for burglary. The crime incident count of National City, CA was 734 for larceny. The crime incident count of National City, CA was 460 for motor vehicle theft. The crime incident count of National City, CA was 3 for murder and nonnegligent manslaughter. The crime incident count of National City, CA was 1,376 for property crime. The crime incident count of National City, CA was 13 for rape (revised definition). The crime incident count of National City, CA was 108 for robbery. The crime incident count of National City, CA was 267 for violent crime."
California,"Newark, CA","The crime incident count of Newark, CA was 47 for aggravated assault. The crime incident count of Newark, CA was 2,589 for all crimes. The crime incident count of Newark, CA was 1 for arson. The crime incident count of Newark, CA was 237 for burglary. The crime incident count of Newark, CA was 710 for larceny. The crime incident count of Newark, CA was 239 for motor vehicle theft. The crime incident count of Newark, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of Newark, CA was 1,186 for property crime. The crime incident count of Newark, CA was 15 for rape (revised definition). The crime incident count of Newark, CA was 45 for robbery. The crime incident count of Newark, CA was 108 for violent crime."
California,"Newport Beach, CA","The crime incident count of Newport Beach, CA was 58 for aggravated assault. The crime incident count of Newport Beach, CA was 4,706 for all crimes. The crime incident count of Newport Beach, CA was 4 for arson. The crime incident count of Newport Beach, CA was 437 for burglary. The crime incident count of Newport Beach, CA was 1,644 for larceny. The crime incident count of Newport Beach, CA was 160 for motor vehicle theft. The crime incident count of Newport Beach, CA was 1 for murder and nonnegligent manslaughter. The crime incident count of Newport Beach, CA was 2,241 for property crime. The crime incident count of Newport Beach, CA was 34 for rape (revised definition). The crime incident count of Newport Beach, CA was 17 for robbery. The crime incident count of Newport Beach, CA was 110 for violent crime."
California,"Norwalk, CA","The crime incident count of Norwalk, CA was 255 for aggravated assault. The crime incident count of Norwalk, CA was 4,779 for all crimes. The crime incident count of Norwalk, CA was 15 for arson. The crime incident count of Norwalk, CA was 372 for burglary. The crime incident count of Norwalk, CA was 1,125 for larceny. The crime incident count of Norwalk, CA was 466 for motor vehicle theft. The crime incident count of Norwalk, CA was 7 for murder and nonnegligent manslaughter. The crime incident count of Norwalk, CA was 1,963 for property crime. The crime incident count of Norwalk, CA was 18 for rape (revised definition). The crime incident count of Norwalk, CA was 139 for robbery. The crime incident count of Norwalk, CA was 419 for violent crime."
California,"Novato, CA","The crime incident count of Novato, CA was 56 for aggravated assault. The crime incident count of Novato, CA was 2,244 for all crimes. The crime incident count of Novato, CA was 8 for arson. The crime incident count of Novato, CA was 186 for burglary. The crime incident count of Novato, CA was 716 for larceny. The crime incident count of Novato, CA was 136 for motor vehicle theft. The crime incident count of Novato, CA was 0 for murder and nonnegligent manslaughter. The crime incident count of Novato, CA was 1,038 for property crime. The crime incident count of Novato, CA was 9 for rape (revised definition). The crime incident count of Novato, CA was 15 for robbery. The crime incident count of Novato, CA was 80 for violent crime."
